WEO_Country_Group_Code,WEO_Subject_Code,Country_Group_Name,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-specific_Notes,Estimates_Start_After,Year,Value,version,_rescued_data
001,NGDP_RPCH,World,"Gross domestic product, constant prices",null,Percent change,null,null,null,1980,2.151,2023-10-01,null
001,NGDP_RPCHMK,World,"Gross domestic product, constant prices",null,Percent change (market exchange rates),null,null,null,1980,1.697,2023-10-01,null
001,NGDPD,World,"Gross domestic product, current prices",null,U.S. dollars,Billions,null,null,1980,"11,232.069",2023-10-01,null
001,PPPGDP,World,"Gross domestic product, current prices",null,Purchasing power parity; international dollars,Billions,null,null,1980,"13,401.939",2023-10-01,null
001,NGDP_D,World,"Gross domestic product, deflator",null,"Index, 2000=100",null,null,null,1980,null,2023-10-01,null
001,NGDPRPPPPC,World,"Gross domestic product per capita, constant prices",null,Purchasing power parity; 2017 international dollar,Units,null,null,1980,null,2023-10-01,null
001,PPPPC,World,"Gross domestic product per capita, current prices",null,Purchasing power parity; international dollars,Units,null,null,1980,null,2023-10-01,null
001,NGAP_NPGDP,World,Output gap,null,Percent of potential GDP,null,null,null,1980,null,2023-10-01,null
001,PPPSH,World,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"""These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, """"Revised Purchasing Power Parity Weights"""" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.""",Percent,null,null,null,1980,null,2023-10-01,null
001,NID_NGDP,World,Investment,null,Percent of GDP,null,null,null,1980,26.500,2023-10-01,null
001,NGSD_NGDP,World,Gross national savings,null,Percent of GDP,null,null,null,1980,23.722,2023-10-01,null
001,PCPIPCH,World,"Inflation, average consumer prices",null,Percent change,null,null,null,1980,17.356,2023-10-01,null
001,PCPIEPCH,World,"Inflation, end of period consumer prices",null,Percent change,null,null,null,1980,null,2023-10-01,null
001,TRADEPCH,World,Trade volume of goods and services,null,Percent change,null,null,null,1980,3.112,2023-10-01,null
001,TM_RPCH,World,Volume of imports of goods and services,null,Percent change,null,null,null,1980,1.528,2023-10-01,null
001,TMG_RPCH,World,Volume of imports of goods,null,Percent change,null,null,null,1980,1.206,2023-10-01,null
001,TX_RPCH,World,Volume of exports of goods and services,null,Percent change,null,null,null,1980,4.706,2023-10-01,null
001,TXG_RPCH,World,Volume of exports of goods,null,Percent change,null,null,null,1980,4.583,2023-10-01,null
001,TTPCH,World,Terms of trade of goods and services,null,Percent change,null,null,null,1980,null,2023-10-01,null
001,TTTPCH,World,Terms of trade of goods,null,Percent change,null,null,null,1980,null,2023-10-01,null
001,TXGM_D,World,Export price of manufactures,null,"U.S. dollars; index, 2000=100",null,null,null,1980,null,2023-10-01,null
001,TXGM_DPCH,World,Export price of manufactures,null,U.S. dollars; annual percent change,null,null,null,1980,null,2023-10-01,null
001,LUR,World,Unemployment rate,null,Percent of total labor force,null,null,null,1980,null,2023-10-01,null
001,LE,World,Employment,null,"Index, 2000=100",null,null,null,1980,null,2023-10-01,null
