LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1995,1995,USD,US Dollar,6,Millions,2015,2015,595626.055,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1996,1996,USD,US Dollar,6,Millions,2015,2015,618934.031,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1997,1997,USD,US Dollar,6,Millions,2015,2015,647796.483,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1998,1998,USD,US Dollar,6,Millions,2015,2015,680365.406,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1999,1999,USD,US Dollar,6,Millions,2015,2015,707046.057,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2000,2000,USD,US Dollar,6,Millions,2015,2015,721364.64,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2001,2001,USD,US Dollar,6,Millions,2015,2015,750072.31,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2002,2002,USD,US Dollar,6,Millions,2015,2015,773254.699,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2003,2003,USD,US Dollar,6,Millions,2015,2015,805919.465,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2004,2004,USD,US Dollar,6,Millions,2015,2015,831339.287,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2005,2005,USD,US Dollar,6,Millions,2015,2015,854245.164,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2006,2006,USD,US Dollar,6,Millions,2015,2015,886479.189,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2007,2007,USD,US Dollar,6,Millions,2015,2015,918270.353,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2008,2008,USD,US Dollar,6,Millions,2015,2015,935649.296,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2009,2009,USD,US Dollar,6,Millions,2015,2015,956481.884,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2010,2010,USD,US Dollar,6,Millions,2015,2015,979523.262,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2011,2011,USD,US Dollar,6,Millions,2015,2015,1017904.996,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2012,2012,USD,US Dollar,6,Millions,2015,2015,1044433.62,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2013,2013,USD,US Dollar,6,Millions,2015,2015,1071666.193,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2014,2014,USD,US Dollar,6,Millions,2015,2015,1095262.248,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2015,2015,USD,US Dollar,6,Millions,2015,2015,1125701.148,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2016,2016,USD,US Dollar,6,Millions,2015,2015,1151802.887,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2017,2017,USD,US Dollar,6,Millions,2015,2015,1185278.461,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2018,2018,USD,US Dollar,6,Millions,2015,2015,1211130.677,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2019,2019,USD,US Dollar,6,Millions,2015,2015,1207077.188,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2020,2020,USD,US Dollar,6,Millions,2015,2015,1232568.617,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2021,2021,USD,US Dollar,6,Millions,2015,2015,1285186.311,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",2022,2022,USD,US Dollar,6,Millions,2015,2015,1323960.229,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1995,1995,USD,US Dollar,6,Millions,2015,2015,303032.998,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1996,1996,USD,US Dollar,6,Millions,2015,2015,310152.861,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1997,1997,USD,US Dollar,6,Millions,2015,2015,316646.219,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1998,1998,USD,US Dollar,6,Millions,2015,2015,327986.669,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),VPVOB,"Constant prices, constant PPPs, OECD base year",1999,1999,USD,US Dollar,6,Millions,2015,2015,339650.961,null,null,null
