LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Period,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1995-Q1,Q1-1995,PC,Percentage,0,Units,null,null,0.006521831,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1995-Q2,Q2-1995,PC,Percentage,0,Units,null,null,0.433098051,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1995-Q3,Q3-1995,PC,Percentage,0,Units,null,null,2.244384265,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1995-Q4,Q4-1995,PC,Percentage,0,Units,null,null,0.039598782,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1996-Q1,Q1-1996,PC,Percentage,0,Units,null,null,1.601248735,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1996-Q2,Q2-1996,PC,Percentage,0,Units,null,null,0.62812639,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1996-Q3,Q3-1996,PC,Percentage,0,Units,null,null,0.812672579,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1996-Q4,Q4-1996,PC,Percentage,0,Units,null,null,0.916623492,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1997-Q1,Q1-1997,PC,Percentage,0,Units,null,null,0.640834629,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1997-Q2,Q2-1997,PC,Percentage,0,Units,null,null,3.0132559,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1997-Q3,Q3-1997,PC,Percentage,0,Units,null,null,0.131590338,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1997-Q4,Q4-1997,PC,Percentage,0,Units,null,null,1.474641628,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1998-Q1,Q1-1998,PC,Percentage,0,Units,null,null,0.640040352,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1998-Q2,Q2-1998,PC,Percentage,0,Units,null,null,0.978337064,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1998-Q3,Q3-1998,PC,Percentage,0,Units,null,null,1.894119778,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1998-Q4,Q4-1998,PC,Percentage,0,Units,null,null,1.562366292,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1999-Q1,Q1-1999,PC,Percentage,0,Units,null,null,0.735301266,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1999-Q2,Q2-1999,PC,Percentage,0,Units,null,null,0.344217468,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1999-Q3,Q3-1999,PC,Percentage,0,Units,null,null,1.140997692,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,1999-Q4,Q4-1999,PC,Percentage,0,Units,null,null,1.700905607,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2000-Q1,Q1-2000,PC,Percentage,0,Units,null,null,0.410166903,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2000-Q2,Q2-2000,PC,Percentage,0,Units,null,null,0.924382529,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2000-Q3,Q3-2000,PC,Percentage,0,Units,null,null,0.242357884,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2000-Q4,Q4-2000,PC,Percentage,0,Units,null,null,-0.362657896,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2001-Q1,Q1-2001,PC,Percentage,0,Units,null,null,1.025112011,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2001-Q2,Q2-2001,PC,Percentage,0,Units,null,null,0.852856368,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2001-Q3,Q3-2001,PC,Percentage,0,Units,null,null,1.114932663,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2001-Q4,Q4-2001,PC,Percentage,0,Units,null,null,1.240132592,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2002-Q1,Q1-2002,PC,Percentage,0,Units,null,null,0.743113578,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2002-Q2,Q2-2002,PC,Percentage,0,Units,null,null,1.761290871,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2002-Q3,Q3-2002,PC,Percentage,0,Units,null,null,0.249397386,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2002-Q4,Q4-2002,PC,Percentage,0,Units,null,null,0.820734093,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2003-Q1,Q1-2003,PC,Percentage,0,Units,null,null,0.180362434,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2003-Q2,Q2-2003,PC,Percentage,0,Units,null,null,0.447392297,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2003-Q3,Q3-2003,PC,Percentage,0,Units,null,null,1.672018258,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2003-Q4,Q4-2003,PC,Percentage,0,Units,null,null,1.751464195,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2004-Q1,Q1-2004,PC,Percentage,0,Units,null,null,0.736807532,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2004-Q2,Q2-2004,PC,Percentage,0,Units,null,null,0.703433211,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2004-Q3,Q3-2004,PC,Percentage,0,Units,null,null,0.703376043,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2004-Q4,Q4-2004,PC,Percentage,0,Units,null,null,0.775355796,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2005-Q1,Q1-2005,PC,Percentage,0,Units,null,null,0.758490145,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2005-Q2,Q2-2005,PC,Percentage,0,Units,null,null,0.499478885,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2005-Q3,Q3-2005,PC,Percentage,0,Units,null,null,1.0585789,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2005-Q4,Q4-2005,PC,Percentage,0,Units,null,null,0.798607503,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2006-Q1,Q1-2006,PC,Percentage,0,Units,null,null,0.136342315,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2006-Q2,Q2-2006,PC,Percentage,0,Units,null,null,0.231389133,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",Q,Quarterly,2006-Q3,Q3-2006,PC,Percentage,0,Units,null,null,1.470384313,null,null,null
