LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Period,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1995-Q1,Q1-1995,AUD,Australian Dollar,6,Millions,null,null,124634,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1995-Q2,Q2-1995,AUD,Australian Dollar,6,Millions,null,null,126251,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1995-Q3,Q3-1995,AUD,Australian Dollar,6,Millions,null,null,128919,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1995-Q4,Q4-1995,AUD,Australian Dollar,6,Millions,null,null,131454,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1996-Q1,Q1-1996,AUD,Australian Dollar,6,Millions,null,null,133179,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1996-Q2,Q2-1996,AUD,Australian Dollar,6,Millions,null,null,135312,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1996-Q3,Q3-1996,AUD,Australian Dollar,6,Millions,null,null,136041,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1996-Q4,Q4-1996,AUD,Australian Dollar,6,Millions,null,null,137976,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1997-Q1,Q1-1997,AUD,Australian Dollar,6,Millions,null,null,139192,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1997-Q2,Q2-1997,AUD,Australian Dollar,6,Millions,null,null,142708,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1997-Q3,Q3-1997,AUD,Australian Dollar,6,Millions,null,null,143689,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1997-Q4,Q4-1997,AUD,Australian Dollar,6,Millions,null,null,147499,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1998-Q1,Q1-1998,AUD,Australian Dollar,6,Millions,null,null,148549,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1998-Q2,Q2-1998,AUD,Australian Dollar,6,Millions,null,null,149790,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1998-Q3,Q3-1998,AUD,Australian Dollar,6,Millions,null,null,152464,null,null,null
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,1998-Q4,Q4-1998,AUD,Australian Dollar,6,Millions,null,null,155332,null,null,null
