LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,null,null,22444.056465,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,null,null,23290.949915,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,null,null,24478.244636,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,null,null,25725.59883,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,null,null,27160.314973,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,null,null,28333.133045,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,null,null,29562.483258,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,null,null,30823.40346,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,32409.0606,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,34019.150424,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,35683.435996,null,null,null
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,37964.554442,null,null,null
