LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-01,Jan-1995,PC,Percentage,0,Units,null,null,2.57777752766249,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-02,Feb-1995,PC,Percentage,0,Units,null,null,2.41460520593266,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-03,Mar-1995,PC,Percentage,0,Units,null,null,2.406809306432,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-04,Apr-1995,PC,Percentage,0,Units,null,null,2.55506694176923,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-05,May-1995,PC,Percentage,0,Units,null,null,2.40469299628898,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-06,Jun-1995,PC,Percentage,0,Units,null,null,2.63543209020295,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-07,Jul-1995,PC,Percentage,0,Units,null,null,2.20034749878878,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-08,Aug-1995,PC,Percentage,0,Units,null,null,2.12949694000865,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-09,Sep-1995,PC,Percentage,0,Units,null,null,1.97215860108913,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-10,Oct-1995,PC,Percentage,0,Units,null,null,1.88953420333323,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-11,Nov-1995,PC,Percentage,0,Units,null,null,1.92027950336978,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1995-12,Dec-1995,PC,Percentage,0,Units,null,null,1.83299367426738,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-01,Jan-1996,PC,Percentage,0,Units,null,null,1.64644720896737,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-02,Feb-1996,PC,Percentage,0,Units,null,null,1.63887297225426,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-03,Mar-1996,PC,Percentage,0,Units,null,null,1.80567476389221,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-04,Apr-1996,PC,Percentage,0,Units,null,null,1.63230246090599,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-05,May-1996,PC,Percentage,0,Units,null,null,1.48911809108491,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-06,Jun-1996,PC,Percentage,0,Units,null,null,1.65477873086667,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-07,Jul-1996,PC,Percentage,0,Units,null,null,1.86968749664385,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-08,Aug-1996,PC,Percentage,0,Units,null,null,1.85967789855347,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-09,Sep-1996,PC,Percentage,0,Units,null,null,2.01934028467214,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-10,Oct-1996,PC,Percentage,0,Units,null,null,2.1112701538109,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-11,Nov-1996,PC,Percentage,0,Units,null,null,2.25520922733865,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1996-12,Dec-1996,PC,Percentage,0,Units,null,null,2.34285695716969,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-01,Jan-1997,PC,Percentage,0,Units,null,null,2.07445372829065,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-02,Feb-1997,PC,Percentage,0,Units,null,null,2.00848668729824,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-03,Mar-1997,PC,Percentage,0,Units,null,null,1.63288272579812,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-04,Apr-1997,PC,Percentage,0,Units,null,null,1.71879319324419,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-05,May-1997,PC,Percentage,0,Units,null,null,1.94695210252933,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-06,Jun-1997,PC,Percentage,0,Units,null,null,1.40331237559801,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-07,Jul-1997,PC,Percentage,0,Units,null,null,0.472747956721336,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-08,Aug-1997,PC,Percentage,0,Units,null,null,-0.0553245997122683,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-09,Sep-1997,PC,Percentage,0,Units,null,null,0.724839227182927,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-10,Oct-1997,PC,Percentage,0,Units,null,null,1.25733399997981,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-11,Nov-1997,PC,Percentage,0,Units,null,null,1.17252952913215,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1997-12,Dec-1997,PC,Percentage,0,Units,null,null,1.36795164127163,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-01,Jan-1998,PC,Percentage,0,Units,null,null,1.19710466222322,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-02,Feb-1998,PC,Percentage,0,Units,null,null,0.998335536663843,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-03,Mar-1998,PC,Percentage,0,Units,null,null,0.96952978289543,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-04,Apr-1998,PC,Percentage,0,Units,null,null,1.19113572888754,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-05,May-1998,PC,Percentage,0,Units,null,null,0.99640235712153,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-06,Jun-1998,PC,Percentage,0,Units,null,null,0.885690868673514,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-07,Jul-1998,PC,Percentage,0,Units,null,null,0.885690868673514,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-08,Aug-1998,PC,Percentage,0,Units,null,null,0.885690868673514,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-09,Sep-1998,PC,Percentage,0,Units,null,null,0.885690868673514,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-10,Oct-1998,PC,Percentage,0,Units,null,null,0.6898462660075,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-11,Nov-1998,PC,Percentage,0,Units,null,null,0.800220674241957,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1998-12,Dec-1998,PC,Percentage,0,Units,null,null,0.68851531275919,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-01,Jan-1999,PC,Percentage,0,Units,null,null,0.4951848960929,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-02,Feb-1999,PC,Percentage,0,Units,null,null,0.49423417340803,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-03,Mar-1999,PC,Percentage,0,Units,null,null,0.411522485421255,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-04,Apr-1999,PC,Percentage,0,Units,null,null,0.191623872083155,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-05,May-1999,PC,Percentage,0,Units,null,null,0.493285035925038,null,null,null
AUT,Austria,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,1999-06,Jun-1999,PC,Percentage,0,Units,null,null,0.411522485421255,null,null,null
