SUBJECT,Subject_1,LOCATION,Country,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-01,Jan-1995,PC,Percentage,0,Units,null,null,8.8555944,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-02,Feb-1995,PC,Percentage,0,Units,null,null,8.8231188,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-03,Mar-1995,PC,Percentage,0,Units,null,null,8.6166538,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-04,Apr-1995,PC,Percentage,0,Units,null,null,8.2672059,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-05,May-1995,PC,Percentage,0,Units,null,null,8.4742618,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-06,Jun-1995,PC,Percentage,0,Units,null,null,8.3530144,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-07,Jul-1995,PC,Percentage,0,Units,null,null,8.4258684,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-08,Aug-1995,PC,Percentage,0,Units,null,null,8.3194201,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-09,Sep-1995,PC,Percentage,0,Units,null,null,8.3619918,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-10,Oct-1995,PC,Percentage,0,Units,null,null,8.5747357,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-11,Nov-1995,PC,Percentage,0,Units,null,null,8.4516084,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1995-12,Dec-1995,PC,Percentage,0,Units,null,null,8.1439142,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-01,Jan-1996,PC,Percentage,0,Units,null,null,8.4524374,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-02,Feb-1996,PC,Percentage,0,Units,null,null,8.3265398,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-03,Mar-1996,PC,Percentage,0,Units,null,null,8.4206825,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-04,Apr-1996,PC,Percentage,0,Units,null,null,8.5779142,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-05,May-1996,PC,Percentage,0,Units,null,null,8.4139864,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-06,Jun-1996,PC,Percentage,0,Units,null,null,8.2544479,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-07,Jul-1996,PC,Percentage,0,Units,null,null,8.5672722,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-08,Aug-1996,PC,Percentage,0,Units,null,null,8.7217347,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-09,Sep-1996,PC,Percentage,0,Units,null,null,8.5754442,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-10,Oct-1996,PC,Percentage,0,Units,null,null,8.7590576,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-11,Nov-1996,PC,Percentage,0,Units,null,null,8.4702063,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1996-12,Dec-1996,PC,Percentage,0,Units,null,null,8.6302562,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1997-01,Jan-1997,PC,Percentage,0,Units,null,null,8.5666313,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1997-02,Feb-1997,PC,Percentage,0,Units,null,null,8.7024187,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1997-03,Mar-1997,PC,Percentage,0,Units,null,null,8.5918969,null,null,null
LRHUTTTT,"Monthly unemployment rate: all persons, s.a.",AUS,Australia,ST,"Level, ratio or index",M,Monthly,1997-04,Apr-1997,PC,Percentage,0,Units,null,null,8.568055,null,null,null
