COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
CAN,Canada,H,Hourly,1995,1995,CAD,Canadian Dollar,0,Units,null,null,6.19,null,null,null
CAN,Canada,H,Hourly,1996,1996,CAD,Canadian Dollar,0,Units,null,null,6.37,null,null,null
CAN,Canada,H,Hourly,1997,1997,CAD,Canadian Dollar,0,Units,null,null,6.45,null,null,null
CAN,Canada,H,Hourly,1998,1998,CAD,Canadian Dollar,0,Units,null,null,6.5,null,null,null
CAN,Canada,H,Hourly,1999,1999,CAD,Canadian Dollar,0,Units,null,null,6.62,null,null,null
CAN,Canada,H,Hourly,2000,2000,CAD,Canadian Dollar,0,Units,null,null,6.67,null,null,null
CAN,Canada,H,Hourly,2001,2001,CAD,Canadian Dollar,0,Units,null,null,6.76,null,null,null
CAN,Canada,H,Hourly,2002,2002,CAD,Canadian Dollar,0,Units,null,null,6.84,null,null,null
CAN,Canada,H,Hourly,2003,2003,CAD,Canadian Dollar,0,Units,null,null,6.93,null,null,null
CAN,Canada,H,Hourly,2004,2004,CAD,Canadian Dollar,0,Units,null,null,7.07,null,null,null
CAN,Canada,H,Hourly,2005,2005,CAD,Canadian Dollar,0,Units,null,null,7.29,null,null,null
CAN,Canada,H,Hourly,2006,2006,CAD,Canadian Dollar,0,Units,null,null,7.6,null,null,null
CAN,Canada,H,Hourly,2007,2007,CAD,Canadian Dollar,0,Units,null,null,7.84,null,null,null
CAN,Canada,H,Hourly,2008,2008,CAD,Canadian Dollar,0,Units,null,null,8.35,null,null,null
CAN,Canada,H,Hourly,2009,2009,CAD,Canadian Dollar,0,Units,null,null,8.87,null,null,null
CAN,Canada,H,Hourly,2010,2010,CAD,Canadian Dollar,0,Units,null,null,9.35,null,null,null
CAN,Canada,H,Hourly,2011,2011,CAD,Canadian Dollar,0,Units,null,null,9.65,null,null,null
CAN,Canada,H,Hourly,2012,2012,CAD,Canadian Dollar,0,Units,null,null,9.98,null,null,null
CAN,Canada,H,Hourly,2013,2013,CAD,Canadian Dollar,0,Units,null,null,10.14,null,null,null
CAN,Canada,H,Hourly,2014,2014,CAD,Canadian Dollar,0,Units,null,null,10.4,null,null,null
CAN,Canada,H,Hourly,2015,2015,CAD,Canadian Dollar,0,Units,null,null,10.68,null,null,null
CAN,Canada,H,Hourly,2016,2016,CAD,Canadian Dollar,0,Units,null,null,11,null,null,null
CAN,Canada,H,Hourly,2017,2017,CAD,Canadian Dollar,0,Units,null,null,11.37,null,null,null
CAN,Canada,H,Hourly,2018,2018,CAD,Canadian Dollar,0,Units,null,null,12.85,null,null,null
CAN,Canada,H,Hourly,2019,2019,CAD,Canadian Dollar,0,Units,null,null,13.32,null,null,null
CAN,Canada,H,Hourly,2020,2020,CAD,Canadian Dollar,0,Units,null,null,13.66,null,null,null
CAN,Canada,H,Hourly,2021,2021,CAD,Canadian Dollar,0,Units,null,null,13.98,null,null,null
CAN,Canada,H,Hourly,2022,2022,CAD,Canadian Dollar,0,Units,null,null,14.59,null,null,null
PRT,Portugal,M,Monthly,1995,1995,EUR,Euro,0,Units,null,null,302.6,null,null,null
PRT,Portugal,M,Monthly,1996,1996,EUR,Euro,0,Units,null,null,317.7,null,null,null
PRT,Portugal,M,Monthly,1997,1997,EUR,Euro,0,Units,null,null,329.9,null,null,null
